Lieu;idmotspip;Type;SousType;Description;AnneeMSI;AnneeMAD;Status;FranceNuc;Andra;EDF;INSC;url;nbPhotos;the_geom;PlaceApproximative;Priority;RecNo;RecNoPere;UpdateTimestamp;longitude;latitude
Landivisiau;0;militaire;base aérienne;avions avec armes nucléaires;NULL;NULL;Marche;;;;;http://www.francenuc.org/fr_chn/tetes_nucleaires_f.htm;0;;0;100;199;NULL;2018-10-12 13:02:05;-4.15064334869385;48.528411652786
Cherbourg;0;militaire;arsenal;construction de bâtiments;NULL;NULL;Marche;bnorm_cherb_f.htm;;;;;2;;0;100;85;NULL;2018-10-12 13:02:05;-1.62026803730079;49.6494139509838
Istres;0;militaire;base aérienne;défense aérienne;NULL;NULL;;prov_ist_f.htm;;;;;1;;0;30;27;NULL;2018-10-12 13:02:05;4.93621760194809;43.5235692051398
Saint Laurent des Eaux;0;déchets;;entreposage de graphite;NULL;NULL;Marche;cen_sain_f.htm;;;;;0;;1;100;152;153;2018-10-12 13:02:05;1.5932425934032;47.719143895972
Menneville;0;déchets;;Déchets enfouis sous plusieurs mètres de terre dans la période 1985-1987. en provenance de la Société HOECHST en Hollande;NULL;NULL;;;NPC5.pdf;;;;0;;1;100;66;NULL;2018-10-12 13:02:05;1.8489423881829;50.6733039778519
Bollène;0;déchets;;Base Chaude Opérationnelle du Tricastin;1987;NULL;;prov_socat_f.htm;;;;;0;;0;100;107;NULL;2018-10-12 13:02:05;4.73188849083651;44.3204354337769
Noyelles Godault;0;déchets;;usines Pennaroya - usine de traitement de déchets;NULL;NULL;;nord_noy_f.htm;;;;;0;;1;20;23;NULL;2018-10-12 13:02:05;2.98494322987905;50.4120716382425
La Rochelle;0;déchets;;usine Chef de Baie - usine de production de terres rares;NULL;NULL;;poit_roch_f.htm;;;;;0;;0;100;70;NULL;2018-10-12 13:02:05;-1.15363999999997;46.158101
Villejuif;0;déchets;stockage;DEBUS - récupération de métaux. autorisation de détenir jusqu'à 7 t d'uranium appauvri;NULL;NULL;;;IPC62.pdf;;;;0;;1;100;47;NULL;2018-10-12 13:02:05;2.36685827229438;48.7947175079614
Vif;0;déchets;stockage;installation de stockage de déchets non dangereux utilisée par le passé par l'usine Cezus à Jarrie pour des résidus de procédé de fabrication;NULL;NULL;;;RHO11.pdf;;;;0;;1;100;48;NULL;2018-10-12 13:02:05;5.66961340846386;45.0557398481605
Saint-Paul-les-Romans;0;déchets;stockage;Le procédé de conversion de l'uranium en hexafluorure d'uranium (UF6) conduit à la fabrication d'un sous-produit non valorisable. le fluorure de calcium (CaF2) appelé communément fluorine;NULL;NULL;;;RHO12.pdf;;;;0;;1;100;115;NULL;2018-10-12 13:02:05;5.13286799930228;45.0696496447605
Saint-Quentin-sur-Isè;0;déchets;stockage;Lely (+ autre exploitant) - installation de stockage de déchets non dangereux (déchets de Sicn-Veurey-Voroize et de CEN-Grenoble);NULL;NULL;;;RHO9.pdf;;;;0;;1;100;54;NULL;2018-10-12 13:02:05;5.51909264018901;45.262398798026
Pontailler-sur-Saône;0;déchets;stockage;installation de stockage de déchets dangereux ayant reçu des boues de décantation de très faible activité provenant du Centre d'Etudes de VALDUC;NULL;NULL;;;BOU1.pdf;;;;0;;1;100;57;NULL;2018-10-12 13:02:05;5.4115740125615;47.3050696868796
Monteux;0;déchets;stockage;installation de stockage de déchets non dangereux. ayant reçu des déchets provenant de l'usine de la Société Européenne des Produits Réfractaires (SEPR) du Pontet (84)…;NULL;NULL;;;PRO14.pdf;;;;0;;1;100;61;NULL;2018-10-12 13:02:05;4.93674052439587;43.9789614764303
Chilly-mazarin;0;déchets;stockage;des terres provenant de l'assainissement des terrains de l'ancienne usine de la Société Nouvelle du Radium (SNR) à Gif-sur-Yvette ont été enfouies en partie sous l'autoroute A87;NULL;NULL;;;IGC2.pdf;;;;0;;1;100;84;NULL;2018-10-12 13:02:05;2.31255345499443;48.7018098083652
Champteussé-sur-Baconne;0;déchets;stockage;SEDA (Société d'Exploitation des Décharges Angevines) filiale de SITA FD - installation de stockage de déchets dangereux (de Saint-Laurent-des-Eaux. de Chinon);NULL;NULL;;;PAY1.pdf;;;;0;;1;100;87;NULL;2018-10-12 13:02:05;-0.657021297223802;47.6623529752141
Bellegarde;0;déchets;stockage;Installation de stockage de déchets dangereux en exploitation. ayant reçu des fluorures de calcium (CaF2) appelés communément fluorines. de Socatri (Bollène) ou de Chemex (CEN. Grenoble);NULL;NULL;;;LAR2.pdf;;;;2;;1;100;98;NULL;2018-10-12 13:02:05;4.51449800000003;43.753813
Bailleau-Armenonville;0;déchets;stockage;installation de stockage de déchets non dangereux. utilisée en août 1989 par le CEA/Saclay pour des boues séchées issues de fosses de décantation des eaux industrielles du site de l'Orme-des-Merisiers à Saint-Aubin;NULL;NULL;;;CEN1.pdf;;;;0;;1;100;99;NULL;2018-10-12 13:02:05;1.67457171175276;48.523492608745
Angervilliers;0;déchets;stockage;ancienne installation de stockage de déchets dangereux et de déchets non dangereux. utilisée ponctuellement en 1979 par le CEA/SACLAY;NULL;NULL;;;IGC1.pdf;;;;0;;0;100;106;NULL;2018-10-12 13:02:05;2.05416569577144;48.5873506154424
Sully sur Loire;0;déchets;retraitement;AREVA NP - entretien d'outillages spécifiques utilisés dans le cadre d'interventions de contrôle et de maintenance des sites nucléaires.;NULL;NULL;;;CEN17.pdf;;;;0;;1;100;52;NULL;2018-10-12 13:02:05;2.37346188804355;47.7600692525272
Maubeuge;0;déchets;retraitement;entreprise de maintenance de matériel nucléaire générant des effluents liquides évacués vers l'évaporateur du CEA/Saclay;NULL;NULL;;;NPC2.pdf;;;;0;;1;100;67;NULL;2018-10-12 13:02:05;3.97249914841469;50.279106392344
Châlons sur Saône;0;déchets;retraitement;CEMO (Centre de Maintenance des Outillages) - entretien d'outillages de maintenance des centrales nucléaires;NULL;NULL;;;BOU5.pdf;;;;0;;1;100;88;NULL;2018-10-12 13:02:05;4.87031154229661;46.7782494290169
Saint Laurent des Eaux;0;déchets;;entreposage de graphite;NULL;NULL;Marche;cen_sain_f.htm;;;;;0;;1;100;206;153;2018-10-12 13:02:05;1.5932425934032;47.719143895972
Bollène;0;déchets;retraitement;usine de fabrication de barrières de diffusion gazeuse et de combustible nucléaire;NULL;NULL;;prov_sfec_f.htm;PRO2-4-27.pdf;;;;0;;1;100;94;NULL;2018-10-12 13:02:05;4.70777693147683;44.3314350071851
Romainville;0;déchets;recherche;ex centre de recherche de l'industrie pharmaceutique utilisant des traceurs radioactifs pour le marquage des molécules (suivi du mode d'action et d'élimination du médicament).;NULL;NULL;;;IPC2.pdf;;;;0;;1;100;58;NULL;2018-10-12 13:02:05;2.43296741040029;48.8869128884143
Prévessin-Moens;0;recherche;;CERN - partie française du Centre Européen de Recherches Nucléaires;NULL;NULL;;rhone_cern_f.htm;;;;;0;;1;100;60;NULL;2018-10-12 13:02:05;6.08413954202757;46.2541469371772
Strasbourg;0;déchets;recherche;« Réacteur Universitaire de Strasbourg » (RUS) - réacteur d'études et de recherche de puissance thermique de 0.1 MWth. principalement utilisé pour la réalisation d'irradiations expérimentales et la production de radionucléides à vie courte.;1967;1997;;;ALS16.pdf;;;;0;;1;100;83;NULL;2018-10-12 13:02:05;7.70562279096878;48.5881545915853
Bure;153;déchets;qualification;études portant sur l'enfouissement des déchets;NULL;NULL;Marche;lorr_bure_f.htm;;;;;3;;0;100;121;NULL;2018-12-17 14:10:10;5.35751567868478;48.4913385721634
Wintzenheim;0;déchets;industriel;JAZ - montres et réveils avec peintures radioluminescentes au radium (jusque dans les années 60).;NULL;NULL;;;ALS9.pdf;;;;0;;1;100;46;NULL;2018-10-12 13:02:05;7.29031600000003;48.072898
Thann;0;déchets;industriel;Thann et Mulhouse (Groupe Rhône-Poulenc). puis Milenium Inorganic Chemicals Thann SAS. produit de l'oxyde de titane à partir d'un sable naturel (ilménite. rutile. slag) comportant des traces d'éléments radioactifs (uranium. thorium).;NULL;NULL;;;ALS15.pdf;;;;0;;1;100;51;NULL;2018-10-12 13:02:05;7.1169763024232;47.8040059056332
Serquigny;0;déchets;industriel;Société des Terres Rares puis Atofina (ex-Elf Atchem) - usine pour la production du nitrate de thorium;NULL;NULL;;hnorm_serq_f.htm;HAN4.pdf;;;;0;;1;100;56;NULL;2018-10-12 13:02:05;0.709413837059601;49.1069824844812
Rogerville;0;déchets;industriel;Hydro Agri France - unité de production d'engrais;NULL;1992;Arrêt définitif;;HAN6.pdf;;;;0;;1;100;59;NULL;2018-10-12 13:02:05;0.265175789681146;49.5002417253877
Ottmarsheim;0;déchets;industriel;installations de production d'acide phosphorique;NULL;NULL;;;ALS14.pdf;;;;0;;1;100;65;NULL;2018-10-12 13:02:05;7.52259202029797;47.7818802812496
Jarrie;0;déchets;industriel;usine pour la production d'éponge de zirconium et autres métaux;NULL;NULL;;rhone_jar_f.htm;RHO54.pdf;;;;0;;1;100;74;NULL;2018-10-12 13:02:05;5.75858665319073;45.1137924709501
Ganagobie;0;déchets;industriel;Isotopchim - fabrication et de commercialisation de molécules marquées. principalement au carbone 14;NULL;NULL;;;PRO5.pdf;;;;0;;1;100;77;NULL;2018-10-12 13:02:05;5.92249417767765;44.0039800107782
Boucau;0;déchets;industriel;Saint-Gobain puis Reno - usine de production de pesticides - traitement de minerais dont monazite;NULL;NULL;Marche;aquit_bocau_f.htm;AQU7.pdf;;;;0;;1;100;93;NULL;2018-10-12 13:02:05;-1.46943726722239;43.5251515127816
Aubervilliers;0;déchets;industriel;entreprise de fonderie de matériaux de récupération;NULL;NULL;;;IPC60.pdf;;;;0;;1;100;100;NULL;2018-10-12 13:02:05;2.38107096621426;48.9145565122185
Arudy;0;déchets;industriel;fonderie pour la production de métaux;NULL;NULL;Marche;aquit_arudy_f.htm;AQU6.pdf;;;;0;;1;100;101;NULL;2018-10-12 13:02:05;-0.425970492962677;43.0990880564254
Solérieux;0;déchets;décharge;décharge industrielle de catégorie 2;NULL;NULL;;rhone_sol_f.htm;RHO18.pdf;;;;0;;1;100;53;NULL;2018-10-12 13:02:05;4.83641933486292;44.3413914018355
La Hague;167;déchets;;CSM - stockage final de déchets dits de faible activité à vie courte;NULL;NULL;Marche;bnorm_csm_f.htm;BAN3-12-13.pdf;;;;0;;1;100;189;73;2018-12-18 15:42:36;-1.86223;49.67761
